test,impl,display_name,keys,value,mean_ms,median_ms,stddev_ms,min_ms,max_ms,runs,success_rate
update,python,dict (python),50000,21.8755625,21.966039220000003,21.8755625,0.3915442559665244,21.473625,23.790958,50,100.0
update,khash,khash (C),50000,10.890020999999999,10.895906760000003,10.890020999999999,0.16907576606658456,10.608959,11.582083,50,100.0
update,khashl,khashl (C),50000,10.682354000000002,10.681238360000004,10.682354000000002,0.09232515502393855,10.4685,10.870167,50,100.0
update,askl,ASKL Map (C),80000,13.312333500000001,13.298992459999997,13.312333500000001,0.1054561959562338,13.028917000000002,13.59425,50,100.0
update,abseil,Abseil (C++),80000,17.736396000000003,17.74593578,17.736396000000003,0.11811919462798105,17.394208000000003,18.002667,50,100.0
update,folly,F14FastMap (C++),80000,19.0543335,19.06085912,19.0543335,0.20296188419610786,18.333333,19.8615,50,100.0
update,rust,HashMap (rust),80000,11.786874500000001,11.797764939999997,11.786874500000001,0.1544078260637426,11.413208000000001,12.084875,50,100.0
update,mstar,M*DICT (C),80000,12.6917915,12.702262459999996,12.6917915,0.12057767460416281,12.448875000000001,13.034875000000001,50,100.0
update,verstable,Verstable (C),80000,15.583520500000002,15.586092520000001,15.583520500000002,0.06819465396403947,15.442083,15.78125,50,100.0
update,python,dict (python),80000,28.570417,28.555422459999992,28.570417,0.19078909546570214,28.039250000000003,29.017459000000002,50,100.0
update,khash,khash (C),80000,16.1017705,16.12431752,16.1017705,0.13388218100182592,15.785959000000002,16.424167,50,100.0
update,khashl,khashl (C),80000,15.3747085,15.397294220000001,15.3747085,0.2356126562223138,14.938292,16.368417,50,100.0
update,askl,ASKL Map (C),100000,16.545417,16.553397499999996,16.545417,0.20613111783822155,16.241083,17.557959,50,100.0
update,abseil,Abseil (C++),100000,20.504895500000003,20.747483360000004,20.504895500000003,0.7507099236759437,19.902792,23.709583000000002,50,100.0
update,folly,F14FastMap (C++),100000,22.704813000000005,22.66158506000001,22.704813000000005,0.19065181001366377,22.027500000000003,22.94375,50,100.0
update,rust,HashMap (rust),100000,14.236729,14.2351516,14.236729,0.14257017752342618,13.863834,14.630417000000001,50,100.0
update,mstar,M*DICT (C),100000,16.6603545,16.709486800000004,16.6603545,0.24327893307854817,16.327292,18.188208,50,100.0
update,verstable,Verstable (C),100000,19.016667,19.10192504,19.016667,0.38358569961858047,18.450458,20.963041,50,100.0
update,python,dict (python),100000,33.68112500000001,33.73326004,33.68112500000001,0.3615557554972988,33.140458,35.174417,50,100.0
update,khash,khash (C),100000,20.4383125,20.44268084,20.4383125,0.13255799924967174,20.094792,20.695750000000004,50,100.0
update,khashl,khashl (C),100000,21.354354500000003,21.43417008,21.354354500000003,0.346099557841903,20.896292,23.159583,50,100.0
update,askl,ASKL Map (C),200000,32.973375,32.9547875,32.973375,0.5295551716038448,32.284958,35.453042,50,100.0
update,abseil,Abseil (C++),200000,37.4612915,37.52208834000001,37.4612915,0.3561655756965998,36.923875,39.172333,50,100.0
update,folly,F14FastMap (C++),200000,38.3525415,38.44102333999999,38.3525415,0.5000541286526854,37.909375000000004,41.435125000000006,50,100.0
update,rust,HashMap (rust),200000,30.758896,30.821590099999998,30.758896,0.4272225553015882,30.339375,32.807,50,100.0
update,mstar,M*DICT (C),200000,32.9264795,32.9703559,32.9264795,0.340971033793449,32.239208000000005,34.368834,50,100.0
update,verstable,Verstable (C),200000,39.568104500000004,39.74672254,39.568104500000004,1.0380401564205304,39.186917,46.683292,50,100.0
update,python,dict (python),200000,57.58070850000001,57.66852168000001,57.58070850000001,0.5138572917478811,57.180709,60.697208,50,100.0
update,khash,khash (C),200000,35.943250000000006,35.89759505999999,35.943250000000006,0.30865829175394927,35.086625000000005,36.505500000000005,50,100.0
update,khashl,khashl (C),200000,46.652187500000004,46.6387401,46.652187500000004,0.3674173031964237,45.067541000000006,47.411,50,100.0
update,askl,ASKL Map (C),300000,50.2213755,50.15357233333334,50.2213755,0.4087549587926842,49.47604200000001,50.829708000000004,30,100.0
update,abseil,Abseil (C++),300000,59.576146,59.898993100000006,59.576146,1.4357196155471015,58.91979200000001,66.85866700000001,30,100.0
update,folly,F14FastMap (C++),300000,51.56039600000001,51.68447633333335,51.56039600000001,0.5675889213747947,51.043583000000005,53.660250000000005,30,100.0
update,rust,HashMap (rust),300000,52.842625000000005,53.57016663333333,52.842625000000005,2.6609381420279985,52.027,66.895875,30,100.0
update,mstar,M*DICT (C),300000,46.713187500000004,46.8201251,46.713187500000004,0.5495513374058657,46.302041,49.469917,30,100.0
update,verstable,Verstable (C),300000,66.49377050000001,66.35135276666668,66.49377050000001,0.8975689944250252,64.710792,68.72816700000001,30,100.0
update,python,dict (python),300000,80.4846045,80.50542506666667,80.4846045,0.4248886081235487,79.56925000000001,81.825333,30,100.0
update,khash,khash (C),300000,57.114604,57.19433736666667,57.114604,0.4814727246565901,56.67745800000001,59.252750000000006,30,100.0
update,khashl,khashl (C),300000,64.117021,64.14413606666669,64.117021,0.542384623705796,62.69712500000001,65.304791,30,100.0
update,askl,ASKL Map (C),400000,66.17489549999999,66.21276399999999,66.17489549999999,0.438777336340977,65.324375,67.13974999999999,30,100.0
update,abseil,Abseil (C++),400000,74.76108350000001,75.14139313333334,74.76108350000001,1.4899303755996804,74.08166700000001,82.00750000000001,30,100.0
update,folly,F14FastMap (C++),400000,70.8291665,70.94015553333334,70.8291665,0.5515092392249331,69.716042,72.20658300000001,30,100.0
update,rust,HashMap (rust),400000,67.435479,67.90303466666667,67.435479,1.433336107580092,66.226625,72.219375,30,100.0
update,mstar,M*DICT (C),400000,65.00116650000001,65.02176663333333,65.00116650000001,0.30666917156704804,64.21754200000001,65.761,30,100.0
update,verstable,Verstable (C),400000,84.836854,85.08243039999999,84.836854,1.246997337440916,83.604083,89.412625,30,100.0
update,python,dict (python),400000,106.53352050000001,106.96118190000001,106.53352050000001,1.9483508252351558,105.49533400000001,115.57958400000001,30,100.0
update,khash,khash (C),400000,77.579854,77.64396113333335,77.579854,0.45662880826234,76.74908300000001,78.6995,30,100.0
update,khashl,khashl (C),400000,98.96735450000001,99.21715146666668,98.96735450000001,1.1400302304308068,97.70487500000002,103.040208,30,100.0
update,askl,ASKL Map (C),500000,87.1434375,87.52461660000002,87.1434375,1.7712086528892714,85.829125,91.82316700000001,10,100.0
update,abseil,Abseil (C++),500000,109.54750000000001,109.53882070000002,109.54750000000001,1.3557744855278238,108.022167,112.92458300000001,10,100.0
update,folly,F14FastMap (C++),500000,82.91289600000002,83.29994590000001,82.91289600000002,1.1720032684308297,82.078542,85.13725000000001,10,100.0
update,rust,HashMap (rust),500000,107.458125,107.8487167,107.458125,2.2771953035998305,104.35762500000001,112.64550000000001,10,100.0
update,mstar,M*DICT (C),500000,78.61054200000001,78.7502458,78.61054200000001,0.48545321594471835,78.420958,80.063708,10,100.0
update,verstable,Verstable (C),500000,123.04950000000001,123.94352900000003,123.04950000000001,3.4369199488848565,121.12737500000001,132.59479100000001,10,100.0
update,python,dict (python),500000,130.01114600000002,129.9756918,130.01114600000002,0.6932030310331267,128.829209,131.274042,10,100.0
update,khash,khash (C),500000,92.9017915,92.8123916,92.9017915,0.27404231155839187,92.326291,93.153917,10,100.0
update,khashl,khashl (C),500000,118.870333,118.58858330000002,118.870333,0.5717058048342012,117.757625,119.325416,10,100.0
update,askl,ASKL Map (C),600000,102.5697705,102.52459585,102.5697705,0.43828182721758596,101.642459,103.289375,20,100.0
update,abseil,Abseil (C++),600000,127.9442915,128.2842937,127.9442915,1.3839584531746174,126.637625,132.789083,20,100.0
update,folly,F14FastMap (C++),600000,95.695792,96.0406876,95.695792,1.0648021622710944,95.145875,99.468209,20,100.0
update,rust,HashMap (rust),600000,123.574042,123.5662438,123.574042,2.1829909456719814,120.042334,128.81125000000003,20,100.0
update,mstar,M*DICT (C),600000,92.479021,92.55646874999998,92.479021,0.8026559037294071,91.64900000000002,94.38525,20,100.0
update,verstable,Verstable (C),600000,144.60847900000002,144.71129995,144.60847900000002,1.467953639360751,142.048959,146.79225000000002,20,100.0
update,python,dict (python),600000,154.16993750000003,154.4223249,154.16993750000003,1.3341795841062756,153.243875,159.77650000000003,20,100.0
update,khash,khash (C),600000,107.7095005,107.8852834,107.7095005,0.9990884429170186,106.80283400000002,111.457791,20,100.0
update,khashl,khashl (C),600000,139.4943335,139.81446250000002,139.4943335,1.4936607103625226,138.553125,145.67220799999998,20,100.0
update,askl,ASKL Map (C),800000,135.500313,135.5047125,135.500313,0.5616022032198522,134.569333,136.44483300000002,10,100.0
update,abseil,Abseil (C++),800000,166.4707085,169.34900840000003,166.4707085,9.676368615562652,165.431542,196.81541700000002,10,100.0
update,folly,F14FastMap (C++),800000,140.31172899999999,140.3513709,140.31172899999999,0.8902842993720184,138.585917,141.764417,10,100.0
update,rust,HashMap (rust),800000,156.95468750000003,157.30176240000003,156.95468750000003,2.052732379640212,154.77295800000002,161.92712500000002,10,100.0
update,mstar,M*DICT (C),800000,136.2430625,136.08246240000003,136.2430625,1.010398459497836,134.84316600000002,138.120083,10,100.0
update,verstable,Verstable (C),800000,192.370729,192.68216669999998,192.370729,1.9971957811207863,190.2655,197.749334,10,100.0
update,python,dict (python),800000,211.33675000000002,212.30280430000008,211.33675000000002,2.9192074306613907,210.65291700000003,220.404625,10,100.0
update,khash,khash (C),800000,151.19543750000003,151.19162079999998,151.19543750000003,0.6882695322534597,150.19795800000003,152.235209,10,100.0
update,khashl,khashl (C),800000,221.29135399999998,222.7591707,221.29135399999998,5.509347572097914,219.114458,237.92620800000003,10,100.0
update,askl,ASKL Map (C),1000000,182.8955625,183.08317500000004,182.8955625,1.207655977927854,181.51908400000002,186.175208,10,100.0
update,abseil,Abseil (C++),1000000,255.81947900000003,255.0385583,255.81947900000003,2.8701391659055258,249.661875,259.71325,10,100.0
update,folly,F14FastMap (C++),1000000,166.84397900000002,166.9636582,166.84397900000002,0.4959062312961972,166.31679200000002,167.844042,10,100.0
update,rust,HashMap (rust),1000000,251.627167,252.29954990000004,251.627167,2.5860799730579522,249.35054200000002,257.263042,10,100.0
update,mstar,M*DICT (C),1000000,164.84970900000002,165.37934599999997,164.84970900000002,2.2083785857549687,163.26825,170.69220900000002,10,100.0
update,verstable,Verstable (C),1000000,301.03029200000003,301.56904579999997,301.03029200000003,3.905882348178581,297.13358300000004,308.441458,10,100.0
update,python,dict (python),1000000,266.860521,268.99456680000003,266.860521,4.605355629365441,265.45241699999997,278.496958,10,100.0
update,khash,khash (C),1000000,192.885042,193.37741270000004,192.885042,2.1229878064988723,191.33170800000002,199.00875000000002,10,100.0
update,khashl,khashl (C),1000000,274.93297900000005,275.26241650000003,274.93297900000005,3.9024567287178997,270.343583,282.463292,10,100.0
